feedback_id,timestamp,task_name,predicted_class,predicted_label,student_corrected_class,student_corrected_label,was_correct,weeks_left,weight,urgency_score,student_comment
c0d4e488,2026-03-09 08:10:51,Research Methodology Review,1,Medium Priority,1,Medium Priority,True,2,-1,0.4667,
d8758e48,2026-03-09 08:10:51,Data Structures Quiz,1,Medium Priority,2,High Priority,False,6,-1,0.1714,"Harder than expected, not enough time"
845bf2e7,2026-03-09 08:10:51,Final Year Project Proposal,0,Low Priority,0,Low Priority,True,1,-1,1.0,
b911363e,2026-03-09 08:10:51,Statistics Coursework,0,Low Priority,0,Low Priority,True,0,-1,1.0,
6b3e72a5,2026-03-09 08:10:51,Machine Learning Assignment 1,0,Low Priority,0,Low Priority,True,4,-1,0.32,
0161fb58,2026-03-09 13:38:09,Research Methodology Review,1,Medium Priority,1,Medium Priority,True,2,-1,0.4667,
00322254,2026-03-09 13:38:09,Data Structures Quiz,1,Medium Priority,2,High Priority,False,6,-1,0.1714,"Harder than expected, not enough time"
3d9c7e24,2026-03-09 13:38:09,Final Year Project Proposal,0,Low Priority,0,Low Priority,True,1,-1,1.0,
9e3549d4,2026-03-09 13:38:09,Statistics Coursework,0,Low Priority,0,Low Priority,True,0,-1,1.0,
12e3f603,2026-03-09 13:38:09,Machine Learning Assignment 1,0,Low Priority,0,Low Priority,True,4,-1,0.32,
58e4be71,2026-03-13 21:59:10,Research Methodology Review,1,Medium Priority,1,Medium Priority,True,2,-1,0.4667,
416da267,2026-03-13 21:59:10,Data Structures Quiz,1,Medium Priority,2,High Priority,False,6,-1,0.1714,"Harder than expected, not enough time"
bbefd7ca,2026-03-13 21:59:10,Final Year Project Proposal,0,Low Priority,0,Low Priority,True,1,-1,1.0,
5e4a5352,2026-03-13 21:59:10,Statistics Coursework,0,Low Priority,0,Low Priority,True,0,-1,1.0,
3d3ba6dc,2026-03-13 21:59:10,Machine Learning Assignment 1,0,Low Priority,0,Low Priority,True,4,-1,0.32,
