Year,Semester,Week_Released,Week_Deadline,Current_Week,Weeks_Left,Weight,Difficulty,Estimated_Hours,Current_Workload,Procrastination_Score,Avg_Delay_History,Urgency,PriorityClass,Task_Type_Exam,Task_Type_Project,Task_Type_Quiz,Task_Type_Report
1,1,2,12,8,4,100,7.0,8,6.295377076,0.599342831,0.37234714,0.040762204,2,True,False,False,False
1,1,4,12,6,6,100,8.2,12,6.295377076,0.599342831,0.37234714,0.009875696,0,False,False,False,False
1,1,3,11,9,2,100,5.0,7,6.295377076,0.599342831,0.37234714,0.242275822,0,False,False,False,False
1,2,4,11,6,5,60,8.5,12,6.295377076,0.599342831,0.37234714,0.021978767,2,False,False,False,False
1,2,2,12,12,0,40,6.0,6,6.295377076,0.599342831,0.37234714,1.0,2,True,False,False,False
1,2,3,12,10,2,100,8.0,12,6.295377076,0.599342831,0.37234714,0.242275822,0,False,False,False,False
1,2,3,12,7,5,60,7.0,9,6.295377076,0.599342831,0.37234714,0.021978767,2,False,False,False,False
1,2,2,12,5,7,40,7.0,8,6.295377076,0.599342831,0.37234714,0.003697864,1,True,False,False,False
2,1,5,12,12,0,100,8.5,12,6.295377076,0.599342831,0.37234714,1.0,0,False,False,False,False
2,1,5,12,12,0,40,6.5,6,6.295377076,0.599342831,0.37234714,0.8,2,False,False,True,False
2,1,3,12,5,7,60,7.5,10,6.295377076,0.599342831,0.37234714,0.004437436,2,False,False,False,False
2,1,2,12,7,5,40,7.0,10,6.295377076,0.599342831,0.37234714,0.018315639,1,True,False,False,False
2,1,3,12,7,5,60,7.0,10,6.295377076,0.599342831,0.37234714,0.021978767,2,False,False,False,False
2,1,1,6,2,4,30,6.5,10,6.295377076,0.599342831,0.37234714,0.036685984,1,False,False,False,True
2,2,3,12,10,2,100,8.8,14,6.295377076,0.599342831,0.37234714,0.242275822,0,False,False,False,False
2,2,1,12,12,0,70,9.5,22,6.295377076,0.599342831,0.37234714,1.0,0,False,True,False,False
2,2,3,12,8,4,100,8.6,12,6.295377076,0.599342831,0.37234714,0.048914645,0,False,False,False,False
2,2,2,12,3,9,40,7.5,8,6.295377076,0.599342831,0.37234714,0.000746586,1,True,False,False,False
2,2,3,12,7,5,60,8.0,10,6.295377076,0.599342831,0.37234714,0.021978767,2,False,False,False,False
1,1,2,12,10,2,100,7.0,8,8.077429935,0.804605971,0.692475624,0.201896518,0,True,False,False,False
1,1,4,12,4,8,100,8.2,12,8.077429935,0.804605971,0.692475624,0.001993869,0,False,False,False,False
1,1,3,11,5,6,100,5.0,7,8.077429935,0.804605971,0.692475624,0.009875696,2,False,False,False,False
1,2,4,11,7,4,60,8.5,12,8.077429935,0.804605971,0.692475624,0.048914645,2,False,False,False,False
1,2,2,12,8,4,40,6.0,6,8.077429935,0.804605971,0.692475624,0.040762204,2,True,False,False,False
1,2,3,12,6,6,100,8.0,12,8.077429935,0.804605971,0.692475624,0.009875696,0,False,False,False,False
1,2,3,12,11,1,60,7.0,9,8.077429935,0.804605971,0.692475624,0.539194757,0,False,False,False,False
1,2,2,12,4,8,40,7.0,8,8.077429935,0.804605971,0.692475624,0.001661557,2,True,False,False,False
2,1,5,12,9,3,100,8.5,12,8.077429935,0.804605971,0.692475624,0.108861544,0,False,False,False,False
2,1,5,12,7,5,40,6.5,6,8.077429935,0.804605971,0.692475624,0.014652511,2,False,False,True,False
