Student_ID,Year,Semester,Task_Name,Task_Type,Week_Released,Week_Deadline,Current_Week,Weeks_Left,Weight,Difficulty,Estimated_Hours,Current_Workload,Procrastination_Score,Avg_Delay_History,Urgency,RawPriority,PriorityClass
1,1,1,CSF Exam,Exam,2,12,8,4,100,7,8,6.295377076,0.599342831,0.37234714,0.040762204,0.541790204,Medium
1,1,1,Database Coursework,Coursework,4,12,6,6,100,8.2,12,6.295377076,0.599342831,0.37234714,0.009875696,0.658068577,High
1,1,1,English Coursework,Coursework,3,11,9,2,100,5,7,6.295377076,0.599342831,0.37234714,0.242275822,0.852168609,High
1,1,2,Programming Coursework,Coursework,4,11,6,5,60,8.5,12,6.295377076,0.599342831,0.37234714,0.021978767,0.487094345,Medium
1,1,2,Programming Exam,Exam,2,12,12,0,40,6,6,6.295377076,0.599342831,0.37234714,1,0.641599653,Medium
1,1,2,DSA Coursework,Coursework,3,12,10,2,100,8,12,6.295377076,0.599342831,0.37234714,0.242275822,1,High
1,1,2,Computational Mathematics Coursework,Coursework,3,12,7,5,60,7,9,6.295377076,0.599342831,0.37234714,0.021978767,0.457094345,Medium
1,1,2,Computational Mathematics Exam,Exam,2,12,5,7,40,7,8,6.295377076,0.599342831,0.37234714,0.003697864,0.412524119,Low
1,2,1,OOD Coursework,Coursework,5,12,12,0,100,8.5,12,6.295377076,0.599342831,0.37234714,1,1,High
1,2,1,Machine Learning Quiz,Quiz,5,12,12,0,40,6.5,6,6.295377076,0.599342831,0.37234714,0.8,0.601599653,Medium
1,2,1,Machine Learning Coursework,Coursework,3,12,5,7,60,7.5,10,6.295377076,0.599342831,0.37234714,0.004437436,0.462709012,Medium
1,2,1,Advanced Mathematics Exam,Exam,2,12,7,5,40,7,10,6.295377076,0.599342831,0.37234714,0.018315639,0.416178563,Low
1,2,1,Advanced Mathematics Coursework,Coursework,3,12,7,5,60,7,10,6.295377076,0.599342831,0.37234714,0.021978767,0.457094345,Medium
1,2,1,DSGP Project Proposal,Report,1,6,2,4,30,6.5,10,6.295377076,0.599342831,0.37234714,0.036685984,0.390771149,Low
1,2,2,AI Coursework,Coursework,3,12,10,2,100,8.8,14,6.295377076,0.599342831,0.37234714,0.242275822,1,High
1,2,2,DSGP Project Implementation,Project,1,12,12,0,70,9.5,22,6.295377076,0.599342831,0.37234714,1,1,High
1,2,2,Data Engineering Coursework,Coursework,3,12,8,4,100,8.6,12,6.295377076,0.599342831,0.37234714,0.048914645,0.675828314,High
1,2,2,Simulation and Modeling Exam,Exam,2,12,3,9,40,7.5,8,6.295377076,0.599342831,0.37234714,0.000746586,0.4217863,Low
1,2,2,Simulation and Modeling Coursework,Coursework,3,12,7,5,60,8,10,6.295377076,0.599342831,0.37234714,0.021978767,0.477094345,Medium
